# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-720.726,0.999857,0.00783155,8,255,0,725.406,-1.12795,0.182073,1.66945,-0.579896,-1.30258,-1.31251,-0.0885139,0.222142,-0.254026,0.504241,6.06953,5.13129,0.997693,0.994126,0.125,0.261894,0.428947,0.194605,0.143715,0.1431,0.236388,0.265819,0.221655,8
-722.269,0.999288,0.00832772,8,255,0,725.83,-0.903324,-0.891421,0.95283,-1.41057,-0.560834,-0.585331,-0.536201,-0.19831,-0.568768,0.566662,4.77753,5.91603,0.991653,0.997311,0.125,0.196477,0.410139,0.15412,0.227738,0.225306,0.230202,0.265866,0.226948,8
-723.178,0.999596,0.00883247,8,255,0,727.494,-0.665653,-0.557331,0.803392,-1.36039,-1.1711,-1.31779,-0.731873,-0.216284,-0.38482,0.606302,3.79893,5.98362,0.978096,0.997487,0.125,0.268241,0.45548,0.183853,0.201701,0.18776,0.247985,0.310713,0.289262,8
-726.403,0.999124,0.00936582,8,255,0,732.074,-0.750967,-1.11208,0.893762,-0.506123,-1.38166,-0.930962,-0.523406,-0.224292,-1.07089,0.788692,6.82866,4.31417,0.998919,0.986799,0.125,0.164097,0.488486,0.240463,0.136972,0.184642,0.237982,0.283358,0.168602,8
-725.285,0.978483,0.00990852,7,127,0,737.19,-0.829077,-0.167051,0.230051,-1.21611,-1.08156,-0.987324,-0.541023,-0.260678,0.325532,0.64841,6.89998,5.38059,0.998993,0.995416,0.125,0.281427,0.336281,0.165534,0.177939,0.187054,0.235073,0.269314,0.350237,8
-724.724,0.999817,0.00991868,8,255,0,732.825,-1.09011,-0.326247,1.9477,-0.294138,-2.38019,-0.369827,-0.186078,0.312934,-1.26031,0.428096,4.59566,5.78909,0.990005,0.996949,0.125,0.22622,0.436271,0.228635,0.108219,0.222971,0.236896,0.27765,0.163879,8
-722.846,0.998919,0.0104953,8,255,0,728.722,-1.24388,0.459513,2.77432,-0.375926,-2.00341,-0.806391,0.266567,0.602282,-0.168739,0.406001,4.97401,5.37171,0.993132,0.995375,0.125,0.257822,0.470657,0.198371,0.11332,0.172034,0.243119,0.269068,0.212087,8
-721.472,0.997372,0.011068,7,255,0,729.837,-1.06042,0.246392,1.07852,-0.813419,-0.790179,-0.32449,-0.0649167,0.792218,-0.317052,0.502386,4.2035,5.52415,0.985277,0.996027,0.125,0.281581,0.373184,0.187084,0.188867,0.227332,0.251048,0.340197,0.227989,8
-721.862,0.999682,0.011614,7,255,0,726.549,-1.43028,0.46495,2.56597,-0.319015,-0.609714,-0.387905,0.684732,0.65637,0.16342,0.506413,5.65847,4.76477,0.996524,0.991547,0.125,0.232397,0.467336,0.169126,0.149434,0.16428,0.252839,0.250136,0.206275,8
-722.867,0.994449,0.0122476,7,127,0,726.851,-1.31027,0.511668,1.52519,0.117855,0.276705,0.0235962,0.279867,1.09449,0.594664,0.566174,6.35544,5.50081,0.998266,0.995933,0.125,0.264914,0.390133,0.223819,0.23983,0.214685,0.240157,0.333899,0.274165,8
