# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-729.825,0.966707,0.0394686,6,63,0,735.709,-0.94297,-1.59471,-1.27627,-1.11102,-0.347412,-1.10803,0.696179,0.224701,5.99202,4.53421,0.997508,0.989379,0.166667,0.213946,0.226225,0.232791,0.264826,0.232911,0.312913,6
-727.765,0.999965,0.0379703,6,63,0,731.745,-0.994894,-1.1211,-0.998817,-0.83634,-0.137371,-1.16645,0.82554,0.190839,5.59805,4.81274,0.996309,0.99194,0.166667,0.229906,0.234063,0.239668,0.264811,0.228377,0.302093,6
-732.06,0.901931,0.0393841,6,63,0,736.997,-0.636978,-1.8714,-1.64793,-1.09678,-0.391332,-0.694825,-0.365015,0.431537,5.00694,5.02282,0.993353,0.993457,0.166667,0.190841,0.206178,0.247819,0.308775,0.281543,0.311204,6
-727.636,0.999806,0.0327766,6,63,0,737.612,-0.795538,-1.02042,-1.7801,-1.36098,-0.442957,-0.830228,-0.19842,0.424687,5.72688,4.9883,0.996753,0.993229,0.166667,0.226374,0.174866,0.20205,0.272167,0.240832,0.293218,6
-730.903,0.986722,0.0339885,6,127,0,734.439,-1.15151,0.384586,0.579444,-1.175,-1.45025,-0.196025,1.81549,0.119374,6.16469,5.14461,0.997902,0.994203,0.166667,0.248692,0.253064,0.215553,0.210049,0.235969,0.281955,6
-730.238,0.986437,0.0342186,6,127,0,736.074,-1.29011,-0.613738,-0.889663,1.00929,0.0803696,0.614314,1.64565,0.334173,6.49189,5.22033,0.998487,0.994624,0.166667,0.183142,0.169748,0.278315,0.220414,0.252594,0.322965,6
-727.758,0.984894,0.0344202,6,63,0,733.708,-1.40108,0.398119,0.0503287,-1.19839,0.112322,-0.300638,1.50211,0.32011,4.25793,4.52521,0.986046,0.989284,0.166667,0.218635,0.200212,0.143725,0.203409,0.182826,0.284909,6
-727.481,0.997856,0.0344982,6,127,0,731.548,-1.32858,0.851139,-0.310009,-0.365603,0.878065,0.264785,1.29012,0.254168,5.80595,5.68117,0.996999,0.996602,0.166667,0.247452,0.196648,0.194426,0.248729,0.220753,0.268809,6
-725.858,0.998731,0.0355581,6,63,0,729.468,-1.1695,-0.4985,-0.242483,-0.907498,-0.456272,0.251101,0.779172,0.353869,4.53342,4.54384,0.98937,0.989479,0.166667,0.20654,0.221782,0.183826,0.209,0.253383,0.29033,6
-733.632,0.988464,0.0367014,6,63,0,736.187,-1.18629,1.27734,-1.89626,0.209656,0.275707,-0.513148,2.25182,0.0530092,4.76206,5.71473,0.991524,0.996714,0.166667,0.246275,0.216393,0.23592,0.236552,0.229084,0.255989,6
-730.991,0.938575,0.0370353,6,63,0,737.625,-1.12476,1.22994,-0.821534,0.859145,-0.0719701,-1.0427,0.734202,0.100094,5.42713,4.56325,0.995624,0.98968,0.166667,0.268617,0.230234,0.261388,0.243799,0.226334,0.258981,6
