# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.10.1,index.1
-722.745,0.994715,0.0325749,5,31,0,725.973,-1.1219,-0.677068,-1.62432,0.906818,-0.488274,-0.214418,0.102238,-0.367598,-0.154253,1.34564,0.0237706,0.720474,4.99549,5.07228,0.993277,0.993771,0.1,0.166629,0.0917732,0.384958,0.186383,0.218167,0.259564,0.199929,0.225651,0.461974,0.248847,10
-728.8,0.931371,0.0334932,5,31,0,730.875,-1.18219,-0.46421,-1.41523,-0.675838,0.218226,-0.329025,0.050821,0.114574,-1.06299,0.822387,0.444208,0.441193,6.02958,5.00371,0.997599,0.993332,0.1,0.199887,0.141051,0.185372,0.252388,0.209597,0.238709,0.243858,0.16095,0.305899,0.271661,10
-723.313,0.999916,0.0297028,6,63,0,732.893,-1.19576,-0.343084,-1.11211,0.817051,-0.216562,-0.00897553,-0.0267734,-0.801826,-0.443572,1.00131,-0.407518,0.790164,6.01964,5.04941,0.997575,0.993628,0.1,0.187422,0.111599,0.36583,0.203125,0.230969,0.228481,0.138318,0.175629,0.400217,0.179791,10
-724.042,1,0.0309051,5,31,0,727.841,-1.17815,-0.162801,-1.23247,0.0716779,0.164223,-0.526727,0.307491,-1.16176,-0.187653,0.361538,-0.0319468,0.714224,6.1335,5.28102,0.997836,0.994939,0.1,0.215105,0.113205,0.244724,0.257146,0.174459,0.277173,0.118376,0.212124,0.284973,0.231304,10
-722.718,0.994038,0.03214,6,63,0,731.151,-0.966062,-0.532991,-1.89667,0.0401269,-0.377092,-0.0639439,-0.134846,-0.806375,0.0176541,1.21249,0.140894,0.903875,6.90247,4.96368,0.998996,0.993061,0.1,0.190337,0.0641387,0.282967,0.213005,0.264276,0.252005,0.155129,0.278864,0.532425,0.301806,10
-722.325,0.99269,0.0329502,6,127,0,730.738,-1.54655,0.143095,-1.36051,1.25073,0.708073,0.631585,0.73026,0.190153,0.0637332,0.972401,0.124918,0.73915,4.21336,5.06879,0.985419,0.993749,0.1,0.191425,0.0722812,0.34931,0.264409,0.253561,0.267611,0.196866,0.182509,0.304111,0.189354,10
-721.45,0.975772,0.0336612,6,63,0,726.779,-1.15602,-0.613499,-1.60789,0.700503,0.144832,0.00641675,0.422794,-0.317962,0.540668,1.07422,0.208758,0.547706,5.54631,5.27964,0.996113,0.994932,0.1,0.183616,0.115406,0.31597,0.254131,0.240031,0.284051,0.209131,0.297361,0.361775,0.260825,10
-726.325,0.999085,0.0330864,5,63,0,730.067,-1.48228,-0.29982,-1.20334,1.75969,-0.00259851,0.874098,0.995228,-0.347276,0.602099,1.14545,-0.21923,0.38772,5.29773,4.95209,0.995022,0.992981,0.1,0.168188,0.12468,0.310023,0.184932,0.241702,0.250414,0.16563,0.222902,0.261504,0.172605,10
-731.618,0.998461,0.0342661,6,63,0,736.156,-1.22466,0.309955,-2.37599,0.0499171,0.326253,-0.449899,0.429738,-0.00755599,-1.50101,2.37584,0.857527,0.2762,6.68577,5.35435,0.998753,0.995295,0.1,0.242495,0.132285,0.229547,0.243323,0.206047,0.248624,0.226752,0.162569,0.361595,0.271345,10
-727.368,0.999657,0.0354174,6,63,0,738.515,-1.18775,-1.0596,-2.16186,1.28687,-0.0468895,0.306226,0.0401659,-0.783803,-0.773752,0.798975,0.242024,0.286077,5.45238,5.60233,0.995732,0.996324,0.1,0.18379,0.141097,0.305847,0.231268,0.249713,0.235726,0.195923,0.196376,0.277042,0.246288,10
-724.736,0.99683,0.0366836,6,63,0,731.333,-1.17847,-0.534466,-0.546495,-0.0786482,-0.0831962,-0.446646,0.183774,0.112628,0.0410454,1.45553,-0.349859,0.760481,4.68549,4.62717,0.990856,0.990312,0.1,0.1701,0.168812,0.224736,0.224134,0.179736,0.261399,0.251088,0.240991,0.482116,0.190845,10
-724.575,0.953951,0.0377376,6,63,0,730.861,-1.18999,0.0514203,-3.48657,0.721303,0.161162,0.0882437,0.560395,-1.03404,-0.469553,0.699364,-0.301938,0.531494,5.10826,5.69438,0.99399,0.996646,0.1,0.238184,0.0455173,0.308611,0.248929,0.241754,0.290668,0.149367,0.191615,0.306129,0.205794,10
-722.133,0.988882,0.035329,6,127,0,729.329,-1.32327,-0.763444,-2.4781,0.768187,0.352604,0.0963173,0.36001,-0.75127,0.276205,1.5998,0.542219,0.535989,5.1784,5.08106,0.994395,0.993825,0.1,0.150272,0.0658965,0.286687,0.243373,0.218976,0.244104,0.151107,0.235912,0.385612,0.262572,10
-722.444,0.966304,0.0357058,6,63,0,727.284,-1.2429,0.0464489,-2.9354,0.220539,-0.149239,-0.135713,0.108411,-0.446674,-0.564711,0.377695,0.139704,1.07519,5.31394,5.53632,0.995102,0.996074,0.1,0.23273,0.0121404,0.267806,0.197283,0.199596,0.244837,0.151465,0.135864,0.302207,0.251111,10
-719.802,0.995304,0.0343576,6,63,0,726.975,-0.986958,-0.551037,-2.39999,0.0113385,-0.0249187,-0.170948,-0.12296,-0.39816,-0.797627,1.17725,-0.335164,0.963513,5.77505,5.19809,0.996906,0.994503,0.1,0.179773,0.0355925,0.27368,0.266791,0.240184,0.248724,0.202524,0.147357,0.536768,0.212505,10
-723.892,0.984858,0.035197,6,63,0,727.194,-1.20039,-0.359603,-1.2533,0.487006,-0.312403,0.045687,0.438501,-0.55074,0.415623,1.17503,-0.991996,0.459945,6.34256,4.745,0.998243,0.99138,0.1,0.203302,0.144694,0.273608,0.206841,0.235165,0.269197,0.189433,0.267132,0.340753,0.160212,10
-731.137,0.988809,0.0352456,6,63,0,735.181,-1.10362,-0.332929,-1.00545,0.316907,0.282191,-0.748891,-0.0028186,-0.287005,0.359731,0.468508,0.628214,0.269602,3.41,5.30768,0.968016,0.995071,0.1,0.232656,0.201863,0.265382,0.263561,0.213237,0.24892,0.234873,0.267639,0.273426,0.282063,10
-732.527,0.992668,0.0355859,6,63,0,740.765,-1.33559,-0.104915,0.364932,1.02867,0.239992,-0.486221,1.2784,-0.969852,1.67815,0.655121,-0.371167,0.260382,5.54631,5.8773,0.996113,0.997205,0.1,0.203768,0.224337,0.255832,0.218727,0.188132,0.268407,0.169648,0.289332,0.237758,0.19275,10
