# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_sigma.1,g_se,g_sp
-731.339,0.997704,0.00890516,8,511,0,738.099,-1.1815,0.15782,-1.51661,-0.0107877,-1.09971,-0.00809837,-0.282291,-1.83859,0.0414402,1.72035,0.107342,-1.56975,5.384,4.69471,1.4951,-0.0710285,0.683328,-0.455719,-1.50491,-1.65046,-0.351075,0.259179,1.11448,-1.51155,-0.121039,-0.500435,0.891861,-0.915543,-17.0427,1.33222,-0.0787703,-1.43289,-2.29832,0.556676,-3.67734,-1.76033,0.137551,0.826734,0.364656,-2.14952,0.463996,-1.61952
-724.432,0.99997,0.00939955,8,255,0,734.551,-1.13249,-0.495016,-1.09169,-0.110126,-0.143072,-0.282429,0.386804,-1.54874,-0.402961,1.68682,-0.403367,-0.385194,4.64048,4.62136,1.42893,1.40954,-0.0858526,-0.906033,-1.86688,0.772899,-0.377575,-1.1197,0.54116,0.578791,0.746497,-2.43149,0.883333,-1.42281,2.59535,-1.04932,2.30694,-5.15605,-0.964128,-2.12233,8.7,-2.63347,-0.993515,2.76596,-0.721734,4.51951,-1.01051,-2.75844
-727.249,0.999689,0.00997207,8,255,0,730.76,-1.23874,0.0314899,-2.8833,0.388563,0.724236,0.00804972,0.662493,0.959455,0.266714,0.577689,-0.106552,-1.04804,5.78882,5.53292,-0.198267,-0.93691,0.685387,0.091954,-0.870439,-1.49369,-0.0155677,1.15606,0.484354,-0.131353,-0.73758,0.41963,-0.0338252,0.573058,4.54375,1.28181,-1.61684,-1.53422,2.68511,-0.0359527,0.631276,2.24777,0.448866,-1.43694,-0.0145421,-3.49857,1.26116,1.79315
-728.24,0.99979,0.0105604,8,255,0,734.671,-1.03132,-0.15543,-0.669204,-0.34386,-0.079009,-0.309402,0.0763246,-1.83757,-0.250466,1.89802,0.0172593,-0.367549,4.30641,5.25774,-0.434989,-0.080818,0.82575,-1.0935,-0.786108,0.118255,1.25275,0.779129,-1.22648,1.47721,-1.58097,-0.304992,0.552616,-1.18092,8.02745,3.50848,4.073,-6.89569,1.42768,-0.857704,1.0527,-3.26341,-0.179834,4.27783,1.47617,5.47198,-1.8766,0.795948
-723.793,0.999295,0.0111747,7,255,0,731.873,-1.08636,-1.0882,-2.43745,0.717521,-0.432242,-0.346225,-0.000940675,-0.99768,0.21807,0.447622,-0.242444,-0.485402,4.5428,4.73843,0.606991,0.345905,2.35752,-1.24312,-0.187392,-0.00489467,-0.288892,-1.78387,0.0565228,1.67434,0.798542,-0.596139,-1.20752,-0.0956011,-11.5153,-4.5133,-0.818735,4.96077,-3.24323,-1.60008,-3.54638,-1.11268,1.3341,-2.18046,0.139562,3.18331,-1.4836,-1.54536
-723.507,0.998748,0.0117972,7,255,0,729.508,-1.12349,-0.223463,-2.22185,-0.3197,0.120035,-0.251644,0.316871,-0.745707,-0.860905,1.61221,-0.111964,-0.568775,4.35296,5.28341,-1.1062,-2.46719,-0.545335,-0.178408,0.745183,0.476506,-0.501778,-0.730092,0.740484,-1.1122,0.0684384,0.25582,-0.719076,-0.650238,-0.549563,1.42478,-0.427125,-6.1064,1.87369,-1.1334,2.73346,-0.564279,-2.01766,1.49184,0.363943,-1.12834,-1.92156,0.922074
-723.551,0.988613,0.0124241,7,127,0,733.009,-1.09162,-0.761629,-1.72427,0.735865,-0.397502,-0.546526,-0.0419954,-0.23028,-1.12592,0.803626,-0.430449,-0.815123,4.71493,5.18467,1.84101,0.247374,0.514969,0.195321,1.05961,-1.99863,0.854061,0.48123,0.995892,-1.52673,-0.370657,-2.06138,1.03004,-0.559923,-11.6674,-0.973205,0.52802,2.19013,-1.61029,-2.21561,-3.76289,0.655912,-1.96939,-0.908937,-0.333515,-2.33152,-1.01291,0.746855
-723.013,0.999226,0.0127357,7,255,0,729.068,-1.56187,0.304161,-1.59345,1.23708,0.288102,0.188665,0.753352,-0.457415,1.18675,1.03812,0.397738,-0.24993,4.78941,4.97022,1.36421,1.10027,0.623404,-1.08668,-0.790248,-1.26796,0.0439112,0.604193,-1.06536,0.557507,-0.890047,0.547982,-1.5153,0.188076,2.21342,1.60153,0.0835595,7.65264,-3.11713,-4.75218,2.91441,-1.20702,4.37128,-2.03019,0.766623,6.23619,-0.632788,-0.647002
-720.855,0.999322,0.0134054,7,127,0,726.882,-1.24894,-0.0681663,-1.98885,0.779294,-0.0280496,-0.0998693,0.319692,-0.0503373,-0.510479,1.35452,0.158038,-0.0942197,4.74157,5.63823,-1.83041,0.7562,-0.0841822,-0.295903,1.17761,0.554762,1.18825,-1.24513,0.531274,0.103097,0.507148,1.54076,-0.491708,0.46359,9.04079,1.41928,-0.452499,9.64559,-2.93401,-4.08585,3.18762,1.27531,-2.82363,2.5204,1.47809,7.96092,-0.664808,2.1684
-727.68,0.996826,0.0141002,7,255,0,732.973,-1.26429,0.193631,-0.701686,0.57705,-0.57324,0.338055,0.742048,0.0222708,-0.958767,1.5746,0.341073,-1.43078,4.65955,5.00805,-0.297474,0.0203189,2.14503,-0.392662,-0.313757,0.562022,0.735576,-0.0454399,-0.442741,0.315413,0.127793,-1.61544,0.114317,-1.36043,-10.0162,1.10507,1.02954,-0.841618,-2.01887,0.829873,-0.765455,0.424715,-1.29513,0.426149,0.567997,-4.141,-1.14564,-0.111389
-728.62,0.998552,0.0147242,7,127,0,734.816,-1.24564,-0.415984,-0.831507,1.5225,0.312375,0.0367102,0.873575,-0.198807,-0.295985,2.02338,0.394486,-1.32553,5.398,4.22119,0.625315,1.1267,0.474781,-1.29982,-1.55328,0.6558,-0.152631,0.44398,-1.30071,-0.453662,0.115469,-1.52253,-1.18999,-0.328856,14.6269,0.069007,1.05038,2.09582,0.67889,0.456008,1.49771,0.240695,-0.36626,1.11842,0.796797,-2.69183,0.677746,-7.31539
-724.072,0.998556,0.015429,7,127,0,731.922,-1.32252,-0.700995,-0.876981,0.650324,0.354277,0.170144,0.533592,-0.5861,0.0880924,2.08945,0.78325,-0.561267,5.82104,5.60899,-1.02397,1.42554,-1.0589,-1.87827,-0.423484,0.828935,-0.975712,-0.221788,0.575897,-0.950515,-0.698511,-0.374138,-0.160236,2.05264,0.686247,-3.89909,2.128,-0.313889,1.15329,0.306074,-0.105792,-0.651433,-0.0595375,2.37693,2.71647,0.655174,1.29817,2.20616
