# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-208.8,0.990104,0.064616,5,63,0,210.543,-0.225928,0.360723,-0.0637262,0.677198,0.121825,-0.599766,-1.24978,0.0809785,-0.243735,0.0941841,8,0.125,0.452159,0.442276,0.459552,0.446591,0.429862,0.414926,0.445641,0.438098,8
-211.344,0.998446,0.0653054,5,31,0,212.336,-0.336335,1.02229,0.0490086,-0.151752,-0.693419,-1.4976,0.999669,-0.446136,0.595549,0.134679,8,0.125,0.450499,0.418305,0.411741,0.394192,0.368646,0.449745,0.402173,0.436316,8
-207.838,0.951502,0.0672133,5,63,0,214.784,-0.291767,0.505076,0.582934,-0.671429,1.2238,-0.356151,-0.626282,0.175718,-0.431287,0.18171,8,0.125,0.450169,0.453673,0.398008,0.482659,0.411811,0.399975,0.435404,0.408508,8
-212.212,0.95339,0.0623585,6,63,0,218.996,-0.499702,0.0489069,-0.221139,0.0365218,-2.83423,-0.699286,-0.997795,-0.537408,0.621984,0.248557,8,0.125,0.380472,0.364782,0.379747,0.230735,0.337711,0.32132,0.346768,0.41457,8
-215.95,0.991378,0.058136,6,63,0,223.69,-0.361072,-0.760234,0.774285,-0.166601,3.07477,1.05774,0.773832,-0.00147229,-1.76161,0.0719458,8,0.125,0.39753,0.424246,0.407802,0.465093,0.429235,0.424238,0.410674,0.380409,8
-216.219,0.981787,0.0589061,6,63,0,225.377,-0.255907,-2.4004,0.517888,-0.896013,1.56888,1.09472,-0.196255,-0.80092,-0.707952,0.0118022,8,0.125,0.429415,0.437874,0.433771,0.440929,0.43955,0.4358,0.434047,0.434316,8
-214.122,0.999968,0.0584441,6,63,0,221.509,-0.33645,0.362378,-2.66314,1.31182,-0.21636,0.419285,-0.311589,-0.713974,-0.85891,0.0218218,8,0.125,0.418595,0.402619,0.423646,0.415525,0.418898,0.41502,0.41289,0.412124,8
-209.825,0.999875,0.0602938,6,63,0,215.588,-0.550987,-0.206969,0.924054,-1.39751,0.308378,0.733308,-0.052619,-0.50153,-0.0767197,0.0488311,8,0.125,0.363294,0.376163,0.349957,0.369135,0.37398,0.36504,0.359974,0.364767,8
-208.794,0.997098,0.0621593,5,31,0,213.703,-0.33271,-0.316508,-0.272595,-0.450313,1.19446,-0.0515642,0.0353719,0.447658,-0.188329,0.4926,8,0.125,0.380218,0.385329,0.364813,0.563574,0.411417,0.421825,0.471981,0.395206,8
-210.328,0.999708,0.063675,6,63,0,212.281,-0.537129,0.77188,0.277736,1.13386,0.521187,1.00936,-1.32222,0.333462,-0.838806,0.0606064,8,0.125,0.379811,0.372783,0.384993,0.376239,0.383208,0.350404,0.373573,0.357102,8
