# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1
-214.032,0.980991,0.0414326,6,63,0,218.635,-0.416932,-0.229762,1.35306,-0.891692,-1.63321,0.986212,1.04949,2.10411,0.205154,-3.06814,-1.45654,0.272161,0.820393,-1.56786,-0.512146,1.17852,0.355047,0.951217,-0.354957,-1.03439,5.19491,-0.357097,1.29128,-0.892968,-1.62681,0.968324,1.43989,2.16756,0.214176,-0.489705
-210.875,0.993535,0.0412806,6,63,0,217.612,-0.569771,1.20063,0.427207,0.0489486,0.942306,-0.157608,-1.11059,1.2295,-0.839274,-2.93681,-0.00302097,0.203407,-1.33135,0.895553,1.5224,-0.93752,-1.12518,-2.31427,-0.102676,1.01414,-10.2469,1.0298,0.264302,0.0231739,0.948601,-0.245463,-1.16835,1.23823,-0.862392,-1.10886
-215.858,0.999776,0.0425063,6,63,0,219.01,-0.341966,0.524588,0.293776,-2.44965,-0.234308,1.58121,-0.136782,-0.365671,2.71194,-1.47657,0.481718,-1.012,-0.242781,0.550053,-0.938261,-0.159895,0.726771,-1.25238,0.239069,1.27574,9.42484,0.196122,0.157897,-2.86142,-0.186982,2.06657,1.7371,-0.212518,3.25926,1.95322
-210.371,0.999995,0.044461,6,63,0,218.853,-0.509702,0.476983,0.640359,-1.67895,1.33965,1.20157,-1.0436,0.0362977,0.414997,-1.89274,0.542925,-0.0943139,0.08813,2.17183,0.806655,-1.37811,-0.450108,0.352051,-2.9387,-0.650738,-8.49217,0.0549356,0.358518,-1.871,1.38046,1.18389,-1.40916,0.0614203,0.425605,-0.488452
-212.667,0.999785,0.046493,6,63,0,215.8,-0.528049,0.52887,-0.56838,1.94336,-1.2394,-1.38457,0.688984,-0.447058,-0.765135,-3.04573,0.701858,-0.765776,0.74353,0.372888,0.901365,0.555295,0.294875,0.516847,-1.5037,0.870376,-5.19401,0.376595,-0.717815,1.94669,-1.23598,-1.46784,0.864526,-0.45264,-0.778796,-0.696612
-212.385,0.996367,0.0485512,6,63,0,220.876,-0.525468,0.883431,1.0957,-1.88568,1.03036,0.184002,-0.0797312,1.32231,1.53794,-2.44446,0.864886,-1.05307,0.312948,-0.700256,0.690975,2.36451,-2.7149,-0.903096,-0.529467,0.00205052,-4.11732,0.634457,0.91983,-1.97104,1.04581,0.0762355,0.123655,1.38877,1.55894,-1.06485
-214.463,0.981131,0.0502198,6,63,0,217.536,-0.306978,-0.377097,1.69293,-2.13438,1.59862,0.735662,-0.574212,1.46426,0.722801,-1.63633,0.620235,1.05624,0.246131,-0.985172,0.23339,-0.262931,0.550279,0.813761,1.41181,-0.730252,10.6077,-0.85277,2.12416,-2.35184,1.69659,0.918285,0.692387,2.11692,0.909886,1.22281
-210.006,1,0.0499485,6,63,0,217.187,-0.351442,1.01904,0.411049,-0.793764,0.122456,1.33346,0.243474,-0.880163,1.15542,-2.00437,0.400411,-0.810402,1.54138,-2.23717,1.6259,0.661108,-0.0461234,1.59407,0.710188,-0.192136,10.0863,0.832211,0.304308,-0.797458,0.156293,1.45288,1.62547,-0.82837,1.27209,-0.507511
-209.629,0.999863,0.0520846,6,63,0,217.123,-0.439902,0.174243,0.331464,0.833229,1.7447,-0.672778,-0.972132,0.483382,-0.763591,-1.15625,-0.440669,-0.0806902,-1.48969,-0.300589,-2.90867,-0.943383,-0.464737,1.2347,-1.04555,-0.541372,-8.56765,-0.603763,-0.0331165,1.21157,1.92775,-1.33094,-2.58654,0.977606,-0.961549,2.09515
-212,0.986538,0.0542511,6,63,0,215.324,-0.319364,0.375692,-0.811719,-1.23703,-2.09115,0.474577,-0.451334,-1.16294,1.19491,-2.26267,-1.31843,0.220241,-1.09136,-0.201466,0.180006,-0.658326,-1.33506,-0.576081,0.426897,-0.931461,6.36844,0.187333,-0.997507,-1.2353,-2.08005,0.501193,0.429236,-1.10315,1.28527,-1.18759
