# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1
-209.797,0.994771,0.0532559,6,63,0,214.063,-0.428999,-0.0570497,0.250801,-1.02197,-0.310584,0.895533,0.463211,-4.06398,1.37175,-1.30755,-1.40759,0.832914,0.0694972,0.944706,0.29903,1.13055,1.70896,-0.103837,0.195303,-0.992231,-0.26995,0.975751,0.451631,-0.970613
-208.887,0.99335,0.054624,6,63,0,213.262,-0.358597,0.979109,-0.80574,-0.584755,-0.327688,-0.0859051,-1.27226,-2.1519,0.912215,0.600073,-0.482533,0.79212,0.109374,-1.19427,-0.946209,2.08907,0.888534,0.772319,-1.21952,-0.379597,-0.0170763,0.541354,-1.64972,-0.548211
-207.381,0.999881,0.0558113,6,63,0,210.833,-0.337987,1.04911,0.648524,-0.191922,-0.493624,-1.18611,-1.05304,-1.54824,0.0699644,0.309593,-1.68789,-0.451071,0.178231,1.12145,-1.1297,-1.08856,-0.786348,0.814654,0.543722,0.200348,-0.00558087,-0.783878,-2.09166,-0.800898
-209.314,0.996041,0.0578767,5,31,0,211.563,0.0377256,0.248163,-1.37413,-0.258256,-1.01858,-1.02724,-0.418324,-0.554839,-0.29367,-1.28589,0.255207,-0.620826,-0.597545,0.155565,1.3879,-0.00831228,5.85197,0.502841,-5.37755,1.06618,-0.179016,0.39703,3.08048,1.01468
-205.694,0.999135,0.0594463,5,31,0,211.011,-0.213402,0.255174,-0.326754,-0.325721,-1.1437,-1.0016,-0.597017,-0.838334,-0.131006,-0.03881,-3.12252,0.298316,0.0905671,-0.195078,0.220826,0.824437,-2.70195,-0.194801,-1.35933,0.490042,-1.04788,-0.555003,-1.54877,-0.599398
-205.585,0.99964,0.0614652,5,31,0,207.022,-0.217877,0.375745,0.197592,-1.19892,-1.1156,-1.23851,-0.125372,-0.714127,0.124009,-0.136364,-0.719614,0.703345,-0.832626,-1.02297,0.289657,0.0733382,2.67453,0.0437917,0.43638,-0.629557,-1.21168,-2.00944,1.68163,-0.435093
-206.257,0.996385,0.0635888,4,31,0,211.504,-0.536446,-0.280469,0.612778,-0.563947,-0.523769,-0.619249,0.712526,-1.30722,-0.206079,1.02011,-0.861961,-1.34304,-1.34615,-1.49913,-1.36716,0.967381,-3.08146,-1.25938,-0.0855004,-0.201453,-0.40287,-0.57269,1.17115,-0.852563
-206.27,0.999046,0.0652602,5,63,0,209.307,-0.40314,0.175827,0.270652,-0.0963993,-0.963829,-1.05107,0.336777,-0.599437,0.140198,1.1872,-0.603285,0.769372,-0.541765,-0.301744,-1.59573,0.87062,-1.46735,-0.975737,-0.368758,0.845575,-1.731,-3.09394,3.41144,3.00488
-208.094,0.972564,0.0673485,5,31,0,208.614,-0.360029,0.169097,-0.148774,-0.773812,-0.290268,-0.891895,-1.36122,-1.44034,0.672491,-0.255186,-0.0430027,0.414795,-0.351423,-0.389905,-0.191348,-0.192916,-7.60154,-0.343844,-0.830298,-0.401503,0.280586,-0.374808,-3.34214,1.03298
-207.528,0.99977,0.0654411,5,31,0,209.551,-0.496225,0.514954,0.201418,-0.806329,-0.116132,-1.76036,0.605704,-1.42713,0.829905,-0.255157,-0.559314,-0.342981,0.160263,-0.378785,-1.44894,-0.770425,-4.871,-0.0692035,-0.640207,-0.485061,0.278526,-2.45399,0.959257,-0.10003
-209.306,0.996093,0.0675964,5,47,0,212.853,-0.446804,1.00489,0.975586,-2.76569,-0.307082,0.110329,-0.0733643,-0.411671,0.411083,-0.157051,0.113833,0.785571,0.324829,-2.34349,0.763863,-0.299457,7.39121,1.43226,3.94794,-2.99756,0.129973,3.62993,-2.00486,4.02888
-207.199,0.999341,0.0692159,5,31,0,213.009,-0.444464,0.283264,0.192278,-0.0414138,0.430679,0.0751765,-0.16416,-2.33431,-0.270555,-0.185906,-0.167238,2.69688,-0.324927,0.431575,-1.38873,-1.41077,0.431528,0.0257463,-0.121987,0.125996,0.684715,0.490942,-0.344726,-0.873122
-208.3,0.996114,0.0713546,4,31,0,209.219,-0.467029,-0.249547,-0.0477274,-0.518774,0.435602,0.726198,-0.490439,-2.55251,-0.325001,0.726827,0.285993,0.669248,0.204069,-0.718131,0.305027,0.159147,-1.73278,-0.483573,-0.341981,-0.391776,0.62059,1.09379,-0.740317,-0.44548
-211.219,0.991986,0.0730021,5,63,0,213.125,-0.542932,-0.858958,2.40269,1.26915,-0.796515,0.0846466,0.809014,-1.97742,-0.430906,-0.479375,-0.477707,-0.499998,0.652342,1.07239,-0.75602,-0.877933,-0.682912,-1.39233,2.31692,1.52724,-0.708308,0.47302,0.674108,-0.42848
-208.151,0.992818,0.0739858,6,63,0,214.904,-0.333835,1.75473,-0.560726,-1.52573,0.00744889,-0.803455,-0.378054,-1.13846,-0.54761,-1.01544,0.673871,-3.14798,-0.950216,-0.510721,-0.554538,-0.582133,0.599553,1.97671,-1.93186,-1.16167,1.03507,-0.202477,-0.922571,-0.346143
-210.243,0.92281,0.0750963,5,63,0,217.805,-0.457952,-0.753115,1.85493,-0.119486,0.392188,0.627082,1.20717,-1.8441,0.791949,-0.717246,2.8468,1.23597,-1.11623,-0.611435,0.246507,-1.63388,10.0269,-1.29852,1.84664,0.146391,0.815757,1.50559,1.85127,1.01634
-210.376,0.99978,0.0654961,5,31,0,213.655,-0.567775,0.214231,0.961464,-1.16417,-0.108715,0.783893,1.1559,-3.41476,-0.667687,1.14146,-1.50038,-0.678825,-0.600308,-0.351128,-0.661909,-1.08424,-7.04044,0.103442,0.811974,-1.11581,-0.0669038,0.870624,1.02642,-1.2771
-211.005,0.996704,0.0674984,6,63,0,213.552,-0.261858,-1.70589,0.48255,0.750339,0.654782,-1.24503,-0.818564,-1.99074,-0.0115872,-0.65064,0.944359,-0.806807,0.374882,0.734941,0.787415,-1.35143,8.15794,-2.122,0.422244,1.05381,1.27466,-0.647335,-0.713093,-0.379569
-210.985,0.998801,0.069073,6,63,0,217.591,-0.484997,-1.72123,0.993239,0.527966,0.485422,-0.61032,-0.382778,-1.18897,0.0883681,-0.457635,-1.3624,0.833273,0.731842,-1.92269,-1.55599,-1.9469,-6.42925,-3.36268,0.909428,1.11801,1.44803,-0.407385,-2.22334,3.40606
-208.801,0.99987,0.0709725,5,31,0,213.87,-0.500777,-0.788215,0.264522,-0.13717,0.932765,0.530703,-0.185585,-2.71665,0.602596,1.80843,-0.961017,-0.921592,-0.00866041,1.04555,0.506025,-1.83893,-3.40848,-1.00837,0.00501141,-0.0296574,1.08652,0.784347,-0.413022,-0.523529
-208.092,0.989221,0.0730577,5,31,0,210.36,-0.528213,0.799168,-0.000328786,0.00315308,-0.150396,0.359582,0.298752,-2.91217,-0.535175,0.641091,-0.0187009,0.0188435,-1.24864,-1.31169,0.152295,0.730977,-5.08457,0.636294,-0.242411,0.089952,-0.0663071,0.531292,0.113439,-1.08172
-211.68,0.934308,0.0735062,6,63,0,213.798,-0.585091,-0.796582,0.849575,0.335489,-1.77812,1.26779,-0.157386,-3.14551,1.35222,0.423581,0.144957,0.211281,-0.694937,1.08743,0.2032,-0.674757,-9.7712,-0.953767,0.647711,0.401245,-1.75347,1.38903,-0.405399,-0.83228
-210.926,0.99761,0.0659199,6,63,0,220.335,-0.565071,0.782393,-0.0939329,0.0299201,1.77839,-0.461863,-0.582803,-3.54734,0.679573,-0.494123,1.75308,1.1931,-0.0751914,2.83859,-2.17639,-0.903486,-8.89032,0.687913,-0.235418,0.0742167,1.8281,-0.402142,-0.740339,-0.877875
-211.104,0.999886,0.0675079,6,63,0,214.931,-0.588488,-0.755218,0.305684,-0.325074,1.72546,0.600409,0.19349,-1.25212,1.18606,0.612328,-0.602997,0.322698,2.00226,-0.0108258,-0.955933,-0.694991,-2.11115,-2.0444,-0.876737,0.0613457,3.20972,1.92052,-0.961026,2.9027
