# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,index.1
-202.81,0.999755,0.0406308,5,63,0,207.17,-0.434318,0.810872,0.659832,-0.0344086,-0.382125,-1.18621,-0.604743,1.20039,0.0394473,0.0430502,0.365085,9,0.111111,0.465485,0.451794,0.390103,0.360355,0.295799,0.341841,0.500981,0.396537,0.396852,9
-199.852,0.992167,0.0421396,6,63,0,207.927,-0.282964,-0.598265,1.28014,0.890523,-0.68064,-0.625152,0.381965,0.0380574,-1.18824,-0.757557,0.541289,9,0.111111,0.35279,0.601079,0.549603,0.342677,0.349474,0.480957,0.434783,0.283707,0.333361,9
-198.508,0.999921,0.0429319,6,63,0,201.432,-0.227495,-0.102602,0.999403,0.795412,-0.980425,-0.889602,0.00650262,-0.0266829,-0.831563,-0.363066,0.722317,9,0.111111,0.425165,0.62114,0.585901,0.281775,0.29524,0.44453,0.438619,0.304037,0.379954,9
-197.956,0.981396,0.0444922,5,31,0,205.573,-0.222786,-0.125992,0.946356,0.654776,-0.549937,-1.07902,-0.162566,0.264823,-0.575077,-0.412979,0.571703,9,0.111111,0.426825,0.578897,0.537816,0.368842,0.301605,0.421718,0.482161,0.365503,0.38725,9
-197.888,0.998378,0.0442085,5,63,0,201.217,-0.184128,0.0258792,0.761053,0.749728,-0.590624,-1.16265,-0.131759,0.343321,-0.759898,-0.191746,0.703283,9,0.111111,0.458613,0.586886,0.584954,0.354457,0.268588,0.43124,0.514327,0.327712,0.420925,9
-200.409,0.99291,0.0456153,6,63,0,201.783,-1.11424,0.582135,1.28365,0.748429,0.196194,0.0425584,1.07628,0.741923,-0.30366,-1.01025,1.43744,9,0.111111,0.431078,0.67501,0.490397,0.303176,0.258638,0.606552,0.48806,0.174981,0.0713321,9
-199.358,0.997327,0.0464756,5,31,0,203.411,-0.632206,0.0547947,0.695059,0.939745,0.194553,-0.210747,0.490665,1.54405,-0.0304948,-0.000924843,0.82852,9,0.111111,0.357368,0.48592,0.536532,0.384376,0.30857,0.443818,0.65635,0.341308,0.346837,9
-199.786,0.986599,0.0477965,6,63,0,203.152,-0.631928,0.898773,1.09389,1.14583,-0.192065,-0.596559,0.753906,0.575793,-0.932205,-1.23076,0.628491,9,0.111111,0.483242,0.513889,0.52204,0.320247,0.267595,0.460556,0.432895,0.228322,0.196953,9
-199.851,0.992487,0.0479917,5,63,0,206.15,-0.617505,0.243704,1.20696,0.625986,-0.118515,-0.277881,-0.743713,-0.207876,-1.46511,-0.251156,0.816552,9,0.111111,0.396874,0.590986,0.473436,0.328654,0.300607,0.227095,0.31276,0.140174,0.305215,9
-200.442,0.98857,0.0487989,5,31,0,202.644,-0.270884,0.61646,1.04517,0.647091,-0.26322,-0.590623,-0.587723,-0.118076,-1.31418,-0.292157,0.505303,9,0.111111,0.510152,0.563959,0.51402,0.400378,0.361392,0.36173,0.418107,0.281923,0.396873,9
-201.846,0.990892,0.0491844,6,63,0,206.079,-0.346057,-0.293273,1.10111,0.817739,-0.697767,-0.497338,-0.0968314,2.55593,-0.894327,-0.203998,0.672287,9,0.111111,0.367439,0.597294,0.550749,0.306793,0.33617,0.398635,0.797745,0.279428,0.381496,9
-202.816,0.983134,0.0498092,6,63,0,208.502,-0.439949,0.813978,1.93043,0.377618,0.176353,-0.469445,-0.472107,1.32369,0.455091,0.113645,0.428602,9,0.111111,0.477247,0.595665,0.430919,0.409904,0.344986,0.344728,0.531803,0.43908,0.403419,9
-201.994,0.998175,0.0495979,6,63,0,208.103,0.00578082,0.0959834,0.280025,-0.282676,-1.08121,-1.59564,0.212393,-0.324318,-2.11534,-1.41915,0.686543,9,0.111111,0.517912,0.549346,0.453066,0.323766,0.251676,0.537827,0.445992,0.190542,0.275174,9
-200.848,0.99863,0.0509875,6,63,0,205.517,-0.620718,1.05261,1.4227,1.53543,0.268801,-0.463758,-0.84213,1.36001,-0.0338556,-0.835508,0.650356,9,0.111111,0.515958,0.575553,0.593356,0.390336,0.284484,0.237144,0.565563,0.344628,0.237924,9
-199.832,0.983709,0.0524431,6,63,0,209.4,0.0483906,-0.627672,0.424067,-0.239122,-0.765537,-1.0974,-0.417701,-0.207679,-1.22156,-1.46853,0.64074,9,0.111111,0.412465,0.57935,0.473818,0.391236,0.341918,0.445407,0.478843,0.324249,0.290582,9
-201.345,0.997958,0.0522508,4,15,0,204.84,0.162502,-0.300675,0.583776,-0.0966446,-0.5141,-0.950986,-0.161965,-1.23437,-1.26181,-1.45139,0.968866,9,0.111111,0.467841,0.674389,0.51721,0.416881,0.31889,0.501395,0.262418,0.257306,0.223793,9
-198.68,0.999933,0.053629,5,31,0,203.157,-0.145573,-0.0979711,0.469795,0.39315,-0.58009,-0.579789,0.161997,-0.538252,-1.33063,-1.01406,0.88773,9,0.111111,0.442124,0.567456,0.550685,0.340619,0.340679,0.499559,0.34901,0.209687,0.260034,9
-199.49,0.983879,0.0552476,5,31,0,202.996,0.0909798,-0.0783734,0.50705,0.0846328,-0.557888,-1.2912,-0.0404369,-0.351841,-0.874815,-1.85055,0.867146,9,0.111111,0.505754,0.629638,0.541,0.403046,0.26334,0.513975,0.446674,0.339032,0.180389,9
-200.613,0.979413,0.0550307,5,63,0,204.276,-0.338753,-0.41252,0.569507,0.499931,-0.590751,-0.425967,-1.65399,0.592461,-1.3055,-0.527144,0.845146,9,0.111111,0.334613,0.53558,0.520928,0.301951,0.332088,0.149743,0.540402,0.191222,0.313401,9
-202.317,0.996658,0.0543083,5,63,0,206.853,0.335021,-0.139218,0.123853,-0.203145,-0.593541,-0.98189,-2.11341,0.512165,-1.45897,-1.1174,1.35913,9,0.111111,0.536387,0.623247,0.514726,0.38422,0.269041,0.0732794,0.737133,0.161392,0.234395,9
-201.787,0.939713,0.0555228,4,31,0,206.468,-0.0967778,-0.682344,0.0949418,0.11343,-1.21926,-0.90113,-1.57446,0.751527,-1.26773,-0.69121,0.662477,9,0.111111,0.366139,0.491531,0.494592,0.288124,0.333198,0.242353,0.59895,0.281583,0.364777,9
-205.214,0.981868,0.0505277,5,63,0,210.61,-0.117888,-1.02537,1.03438,-0.512592,0.357469,-1.58017,0.671623,1.167,-1.49857,-0.464621,0.517518,9,0.111111,0.34332,0.602866,0.405364,0.516771,0.281779,0.557171,0.619176,0.290404,0.411362,9
-203.361,0.950737,0.0501263,6,63,0,210.459,-0.184369,0.72379,0.681098,1.33015,-1.10591,-1.34998,-0.766871,0.802242,-0.80989,-1.58537,0.331688,9,0.111111,0.513922,0.510384,0.563856,0.365589,0.347026,0.392043,0.52042,0.388648,0.329551,9
-204.965,0.992484,0.0466994,6,63,0,210.058,-0.390827,0.490874,0.790523,1.21753,-0.805418,-1.68589,-0.501825,2.10039,-0.463224,-0.417644,0.221508,9,0.111111,0.42994,0.446278,0.469753,0.361414,0.317721,0.377074,0.518598,0.379085,0.381464,9
-203.582,0.999438,0.0473372,6,63,0,208.911,-0.0777981,-0.922355,0.53608,0.821844,-0.291555,-1.5571,0.680169,0.569995,0.509125,-0.992657,0.585704,9,0.111111,0.350231,0.558774,0.599542,0.438177,0.270952,0.579465,0.563665,0.554878,0.340919,9
-204.221,0.984359,0.0486424,6,63,0,207.866,-1.06677,0.828306,1.98762,1.14116,0.0609566,-0.142065,-0.418371,0.977011,-1.4353,0.11943,0.972443,9,0.111111,0.435047,0.703929,0.510734,0.267471,0.230601,0.186394,0.470863,0.0785281,0.278758,9
-210.473,0.981003,0.0484893,6,63,0,214.111,-0.460719,-0.34975,-0.779306,-0.226884,-0.0719549,-1.36983,1.61535,-0.363942,0.159763,-0.70696,0.0438282,9,0.111111,0.383186,0.378746,0.384459,0.386068,0.372675,0.403736,0.383039,0.388477,0.379492,9
-204.305,0.997546,0.0480128,6,63,0,214.286,-0.714223,1.27141,2.36994,0.565848,-0.000858194,-0.33774,0.205466,0.23602,-1.15013,-0.376851,0.795057,9,0.111111,0.573617,0.763148,0.434297,0.328516,0.272347,0.365664,0.371316,0.164016,0.266229,9
