# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_sigma.1
-204.529,0.995637,0.0426612,5,31,0,209.781,0.0616866,0.208612,0.67377,-0.153981,-0.0658009,-1.07353,-2.41106,0.42929,-1.07395,-0.719488,-0.207157,0.190922,-0.468271,-0.104754,-0.0678542,1.91747,1.59172,-1.18324,0.634789,0.966211,-1.06436,0.39076,13.7532,2.5977,1.70147,-1.8763,6.52396,0.863974,-3.50722,0.274804,-0.0118696,0.377089,-0.597659
-203.801,0.995995,0.0440345,6,63,0,209.978,-0.501343,-0.154125,1.42011,1.72628,-1.0311,-1.08925,1.26927,0.587705,-0.182677,0.828009,-0.759159,0.961788,-0.288796,1.3154,0.355681,1.63885,-0.629612,2.38998,0.0796962,0.0147157,-0.695554,0.453564,-6.69636,-1.08517,0.0576669,2.4128,-2.83335,-2.17694,1.55752,-0.0912647,0.754858,1.87846,2.57029
-201.24,0.999534,0.0454633,6,63,0,206.77,-0.439134,0.0566133,0.738396,0.975311,0.264741,-0.231679,-0.934806,0.811522,-0.814813,-1.479,-0.505845,0.486669,1.88105,0.37031,-1.61509,1.63376,-0.0208731,0.540702,-0.213368,0.756174,0.496377,0.844209,6.05421,-0.544685,-1.93913,0.945057,2.91191,4.77806,-1.33161,0.269067,-0.236159,-1.55076,-3.3321
-202.752,0.993643,0.0473183,6,63,0,208.415,-0.385862,0.148567,1.12821,-0.213065,-1.00824,-1.1077,0.597763,-0.576585,-1.29861,-0.933608,-0.968636,-1.21955,-0.495071,-0.697819,1.71659,0.712501,1.42835,-1.33036,0.374548,-0.287275,-1.27227,0.0133891,-9.87099,-0.0566958,-0.423054,-2.47923,-1.58797,-0.159838,0.712299,-1.4018,-0.878046,-0.589491,-2.70681
-203.968,0.972502,0.0485101,6,63,0,207.536,-0.363189,-0.769628,0.0933992,0.852064,-0.21951,-0.848558,-0.877844,1.56945,-1.04397,-0.915143,-0.106122,-1.44092,0.56425,1.27684,0.183687,0.593729,0.716261,-0.496946,-0.375208,0.8559,0.462522,0.936848,-13.4583,-4.85693,-6.38579,2.99037,0.587428,-5.204,-1.59727,2.39996,-1.04981,-0.820293,9.63485
-201.627,0.984923,0.0472244,6,63,0,209.238,-0.460841,1.15166,0.974364,-0.155129,-0.235539,-0.867313,-0.534014,1.06301,-0.59354,-0.963289,-0.476785,-1.87548,-1.55923,-2.40401,-0.00656272,0.987929,-0.319881,-0.851995,1.16885,-0.497582,-0.272387,-0.00938073,-8.46205,3.06336,-0.948935,-4.37382,-0.0232359,-2.14283,-0.808193,0.68856,0.184363,-0.766005,0.755727
-203.452,0.995337,0.0473762,6,63,0,207.249,-0.219523,-0.762977,1.30062,1.62604,-0.670446,-0.896446,0.609046,-0.896438,-1.28484,-0.447199,-0.767225,-1.06472,-1.7357,-0.20573,-0.599235,0.132422,0.341287,0.151044,0.867426,0.557132,0.530531,-1.24355,9.85647,-1.68732,0.930091,3.29722,-0.0867989,2.26734,0.877896,-1.93197,-0.684797,0.273974,-0.82386
-206.006,0.986661,0.0487149,6,63,0,214.056,-0.512466,1.56354,1.07908,0.406332,-0.318293,-1.28186,-0.776071,1.64277,0.683385,0.0137667,-1.41474,-1.57059,-0.247739,0.570885,-1.21279,0.611956,0.145401,-0.185249,-1.21323,2.5281,0.945323,-1.60883,-7.0207,1.72703,-0.604201,-0.924588,-0.185302,-0.779687,-0.859195,1.34479,1.36364,0.348749,-3.50015
-201.402,0.996137,0.0490435,6,63,0,210.75,-0.543792,-0.165422,1.18903,1.29074,-0.353458,-0.520405,-0.214119,0.104677,-1.82798,0.071199,-0.797725,0.694775,-2.68803,2.16189,-0.525038,0.660828,-0.101256,0.967072,-1.12657,-1.22798,-0.931401,1.00572,-7.12347,-1.1768,-0.874047,0.77982,-0.704741,0.917331,-0.337524,-0.784038,-1.8985,0.689577,-4.01256
-205.998,0.990384,0.0504761,6,63,0,210.056,-0.428631,-0.738068,1.5861,1.72732,0.381149,-0.66525,-0.270022,0.287399,-2.07286,-0.324009,-0.361842,-1.03664,-1.17238,0.790479,0.44614,1.55438,-0.640547,-0.0925102,0.64535,-0.247829,-1.23376,0.0896765,7.68163,-3.51716,2.87458,5.69203,4.47807,-0.364126,-0.442244,-0.725852,-2.86251,0.426878,13.1496
