# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=758170905
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
406.645,0.928463,0.00615107,4,31,0,-406.205,0.816846,-0.154083,-1.79157,0.788808,0.0616674,0.504433,120.539,76.5556,-23.194
406.807,0.906243,0.00814566,3,15,0,-403.224,0.822888,-0.192384,-1.74337,-1.73884,0.418435,-1.99186,-87.4405,-74.898,8.59317
407.18,0.997615,0.01031,3,15,0,-406.491,0.82322,-0.168559,-1.74239,-0.151693,1.16245,-0.0555572,79.0309,42.8374,9.97349
405.116,0.289005,0.0154969,3,7,0,-404.562,0.868068,-0.229197,-1.73424,-0.900701,-0.461238,-0.289081,140.631,54.7787,11.9423
405.892,0.995712,0.0060491,4,31,0,-403.556,0.806759,-0.165458,-1.69031,1.82557,-0.944599,0.667208,-67.0207,-49.2122,41.0173
407.358,0.714817,0.00904604,3,13,0,-403.921,0.807126,-0.145394,-1.74586,-1.8813,-0.789462,-1.64655,66.1542,45.3442,7.80787
407.164,0.998586,0.00794708,3,15,0,-405.986,0.799017,-0.151969,-1.78534,0.102096,-0.00404789,-1.53152,-72.1386,-45.9583,-18.3817
406.907,0.763872,0.0118895,2,7,0,-403.764,0.811366,-0.148167,-1.72653,-0.785795,-0.334718,-2.35709,89.3658,58.674,19.5464
407.405,0.931252,0.0114419,4,15,0,-405.88,0.800423,-0.139731,-1.77818,-0.900001,-0.208808,-1.48226,34.8902,28.6432,-13.2273
406.309,0.502285,0.0150274,3,15,0,-405.442,0.853774,-0.215438,-1.74928,-1.0593,0.488293,-0.609932,85.4887,24.9859,4.28185
406.203,0.931183,0.00890864,4,15,0,-403.667,0.792821,-0.116298,-1.71527,0.855935,-2.08295,-0.0442594,106.521,83.491,25.1749
406.897,0.997603,0.0116816,3,15,0,-406.059,0.805753,-0.169437,-1.76647,0.609892,-0.509512,-1.02278,-119.078,-84.7013,-6.53386
406.897,0.0231189,0.01726,1,3,0,-406.633,0.805753,-0.169437,-1.76647,0.0920079,0.533935,-0.48451,-119.078,-84.7013,-6.53386
407.389,0.9942,0.00429029,2,3,0,-406.692,0.808254,-0.16521,-1.7679,0.861519,0.804228,-0.0659104,-61.0078,-45.4332,-6.44387
406.887,0.830741,0.403474,2,7,0,-406.376,0.816925,-0.152212,-1.7565,10.1733,13.5222,27.082,126.924,81.2307,0.100412
406.887,0,4.26667,0,1,1,-405.349,0.816925,-0.152212,-1.7565,70.604,3.12772,-8.30912,126.924,81.2307,0.100412
405.762,0.119315,0.658218,2,5,0,-404.856,0.814075,-0.191402,-1.76136,-52.5303,10.7757,5.3195,-181.517,-135.224,-5.34162
407.367,0.997215,0.0846938,3,7,0,-405.262,0.819661,-0.180063,-1.75907,-47.8162,-50.5566,-8.86303,-39.0181,-38.4076,-0.561179
407.508,0.993698,0.112559,4,27,0,-406.796,0.8133,-0.157959,-1.76309,3.44697,36.1496,-3.1609,47.3201,27.5064,-3.00165
406.125,0.98996,0.171619,4,23,0,-404.726,0.814864,-0.17517,-1.69546,3.20202,15.4234,-49.3241,-49.5336,-42.1143,38.2607
405.639,0.988747,0.281948,3,7,0,-405.401,0.830049,-0.177099,-1.69011,10.6014,-2.51162,-19.6343,85.0187,43.3541,41.0176
405.698,0.754547,0.485456,3,7,0,-403.995,0.807831,-0.128135,-1.74263,20.9694,-23.4394,49.4783,191.242,133.447,6.59631
401.775,0.971149,0.41232,3,15,0,-400.73,0.888357,-0.299632,-1.74632,-2.06324,-43.4301,-7.315,-123.161,-147.815,-2.17479
401.775,5.96206e-24,0.700113,1,1,0,-398.545,0.888357,-0.299632,-1.74632,-74.2007,-48.12,25.1474,-123.161,-147.815,-2.17479
400.533,0.997707,0.0556448,6,63,0,-398.431,0.871571,-0.278968,-1.82258,68.9683,-30.3944,18.3677,-189.283,-189.31,-54.6003
400.588,0.997093,0.104412,2,3,0,-400.141,0.8731,-0.279798,-1.82388,31.9382,16.1527,-0.143817,-177.291,-182.231,-55.3036
405.518,0.996623,0.196374,5,31,0,-396.494,0.773351,-0.0833575,-1.72792,-16.6827,75.5529,-106.093,126.056,111.322,15.299
406.086,0.575873,0.368651,2,3,0,-403.335,0.765437,-0.0916581,-1.70907,-63.684,-50.8884,16.2831,-10.3203,19.0372,28.5873
405.227,0.98831,0.185703,4,15,0,-404.609,0.777805,-0.103232,-1.68083,12.3792,-24.2794,-22.084,37.2959,43.1561,45.4162
405.976,0.889898,0.339345,2,3,0,-404.391,0.768676,-0.111589,-1.70967,-25.8553,-25.018,-44.8338,-105.519,-50.575,28.025
405.37,0.999505,0.455219,3,7,0,-404.885,0.763705,-0.077264,-1.79888,24.0378,-7.5793,-23.1912,75.7742,87.5634,-31.292
405.37,2.83251e-22,0.850858,1,2,1,-401.581,0.763705,-0.077264,-1.79888,-87.26,13.4,51.9133,75.7742,87.5634,-31.292
